Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Short Description,Event Tags
Italian Night -- Make Your Own Pizza!,Maseeh Hall,,Maseeh Courtyard,8/28/2023 20:00:00,8/28/2023 21:30:00,Ever felt like you wanted to become an Italian chef and make Pizza? Come to Maseeh's Pizza making event! We will be making mini margherita pizzas in our very own kitchen that you can make and eat. All ingredients are provided just bring yourself (and maybe a friend).   ,"Food, Social"
Sushi Sushi Sushi ,Maseeh Hall,,Maseeh Courtyard,8/29/2023 12:00:00,8/29/2023 13:30:00,"We have 10lbs of sashimi grade tuna, 4lbs of fresh crab, and all you can eat salmon.  Why spend $40+ on sushi when you can get it for free? ",Food
Maseeh Building Tour 2,Maseeh Hall,,Maseeh Lobby (meet at 2pm and 2:30pm),8/29/2023 14:00:00,8/29/2023 15:00:00,"Looking to possibly FYRE/move to Maseeh?  Join us on this tour of one of MIT's newest residence halls, the closest dorm to campus and one of only two dorms to serve lunch. This tour will show you a taste of Maseeh culture and some of the spacious rooms avaliable to residents. ",Tour
Super Smash Bros Tournament,Maseeh Hall,,Maseeh Lounges,8/30/2023 21:00:00,8/30/2023 23:00:00,"Play to win big: 27 inch monitor, logitech gaming mouse, and over $300 in prizes. Not to mention unlimited chips and soda :)",Games
McCormick Tours,McCormick Hall,,McCormick Lobby,8/27/2023 10:00:00,8/30/2023 17:00:00,"Get an insider tour of McCormick, including the Penthouse, Dance Studio, Craft Room, Country Kitchen, Gym, and more! (Su/M/W - 10/4/7)",Tour
Make a Mural,McCormick Hall,,McCormick Courtyard,8/27/2023 10:00:00,8/27/2023 19:00:00,"Join us to show once and for all that MIT students are as artistic as they are intelligent- with paint & chalk. Or, just come for snacks and chats with McCormick residents.",Art
Great McCormick Baking Show,McCormick Hall,,McCormick Front Lawn,8/27/2023 13:00:00,8/27/2023 15:00:00,"Show off your cake-decorating skills at McCormick’s very own cake-off! We’ll bring the cakes, you bring the friends!","Food, Social"
Penthouse Party,McCormick Hall,,McCormick East Penthouse,8/27/2023 21:00:00,8/28/2023 0:00:00,"Take pics with the Boston Skyline at Night, eat great food, & dance to the rhythms of your favs! (Bring your friends, we spent so much money on this XD)","Signature, Party"
Tosci's and Tea,McCormick Hall,,McCormick Front Lawn,8/28/2023 14:30:00,8/28/2023 16:00:00,"Have THE ICONIC TOSCANINI's ICE CREAM on McCormick's front lawn! Why settle for regular ice cream when you can have BOSTON'S BEST? For multiple years, Tosci's has been voted by Bostonians to be the BEST and come see why! Also just chill and spill tea with us ;)","Food, Social"
Night Carnival,McCormick Hall,,McCormick Front Lawn,8/28/2023 19:00:00,8/28/2023 21:00:00,"Games and PRIZES GALORE! Cotton candy, popcorn, snow cones! We're having a GIANT CARNIVAL BASH, and we're giving away so much food & prizes!! (Bring your friends! All genders invited)","Food, Social, Games"
